"Code","FirstRecorded","BirthGp","Mother","LastSeen1","MotherCode","BexStart","BexEnd","BBDuringBex"
"BBXian22",2022-10-21,"NH","Xian",2022-10-21,"Xian",2023-03-10,2023-09-11,"No"
"BBOort22",2022-11-15,"NH","Oortjies",2022-11-17,"Oort",2022-12-12,2023-09-13,"No"
"Olyf",2022-11-15,"BD","Oulik",NA,"Ouli",2022-09-27,2023-09-13,"Yes"
"BBNdaw22",2022-12-03,"AK","Ndawonya",2023-01-06,"Ndaw",2022-09-29,2023-09-13,"Yes"
"Ott",2022-12-26,"BD","Oerwoud",NA,"Oerw",2022-09-22,2022-12-21,"No"
"Pikk",2022-12-10,"BD","Pieperig",NA,"Piep",2022-09-16,2023-09-11,"Yes"
"Gon",2023-10-01,"AK","Ginqika",NA,"Ginq",2022-09-27,2023-09-13,"No"
"Sil",2023-11-04,"BD","Sirkus",2024-01-23,"Sirk",2022-09-14,2023-09-13,"No"
