"Dyad","Male","Female","AgeDiff","AgeDir","TotalTrials","ToleranceCount","NoToleranceCount","ToleranceProportion","NoToleranceProportion"
"Sey Sirk","Sey","Sirk",3.80295283270704,"Male Older",586,401,185,0.684300341296928,0.315699658703072
"Xia Piep","Xia","Piep",4.87073656543255,"Female Older",603,473,130,0.78441127694859,0.21558872305141
"Nge Oerw","Nge","Oerw",1.97403095203871,"Male Older",182,121,61,0.664835164835165,0.335164835164835
"Sho Ginq","Sho","Ginq",0.985646522515863,"Female Older",281,158,123,0.562277580071174,0.437722419928826
"Xin Ouli","Xin","Ouli",10.1466833678994,"Female Older",185,108,77,0.583783783783784,0.416216216216216
"Buk Ndaw","Buk","Ndaw",0.254625351649933,"Female Older",258,145,113,0.562015503875969,0.437984496124031
"Kom Oort","Kom","Oort",3.20882701219053,"Male Older",367,305,62,0.831062670299727,0.168937329700272
"Pom Xian","Pom","Xian",4.95287377564221,"Female Older",257,171,86,0.665369649805447,0.334630350194553
