"Dyad","Male","Female","MEloQ","FEloQ","ZMFEloQ","MElo","FElo","EloDate"
"Buk Ndaw","Buk","Ndaw","1st Quartile","4th Quartile",3,1,0.272,2024-11-24
"Kom Oort","Kom","Oort","2nd Quartile","1st Quartile",1,0.682,0.706,2024-11-24
"Nge Oerw","Nge","Oerw","4th Quartile","2nd Quartile",2,0.285,0.351,2024-11-24
"Pom Xian","Pom","Xian","4th Quartile","1st Quartile",3,0.165,0.566,2024-11-24
"Sey Sirk","Sey","Sirk","1st Quartile","3rd Quartile",2,1,0.312,2024-11-24
"Sho Ginq","Sho","Ginq","4th Quartile","1st Quartile",3,0,1,2024-11-24
"Xia Piep","Xia","Piep","2nd Quartile","3rd Quartile",1,0.664,0.261,2024-11-24
"Xin Ouli","Xin","Ouli","3rd Quartile","1st Quartile",2,0.324,0.782,2024-11-24
